flat_id,id,building_id,floor,is_apartment,kitchen_area,living_area,rooms,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator,target
153.0,927,8973.0,1,0,7.5,42.0,3,0,54.0,1970,4,55.77981948852539,37.48136901855469,2.640000104904175,213,9,1,12000000
154.0,928,24043.0,18,0,0.0,24.0,2,0,42.0,2018,2,55.57772445678711,37.47894287109375,2.640000104904175,569,21,1,9200000
155.0,929,3664.0,5,0,10.0,35.0,2,0,50.0,1961,1,55.71560287475586,37.516414642333984,2.700000047683716,357,8,1,15500000
157.0,931,23301.0,6,0,0.0,44.0,2,0,55.0,2016,2,55.565208435058594,37.47708511352539,2.700000047683716,361,24,1,12500000
158.0,932,22580.0,6,0,0.0,44.0,2,0,61.0,2014,1,55.56792831420898,37.47723007202149,2.799999952316284,151,17,1,9600000
159.0,933,23185.0,12,0,9.600000381469728,18.799999237060547,1,0,41.0,2015,4,55.60483551025391,37.368309020996094,2.740000009536743,324,17,1,7500000
160.0,934,12812.0,2,0,7.0,18.0,1,0,32.79999923706055,1979,4,55.88173675537109,37.71669387817383,2.640000104904175,144,9,1,8200000
161.0,935,22162.0,12,0,12.0,36.0,2,0,64.19999694824219,2012,4,55.593971252441406,37.36544036865234,2.700000047683716,182,25,1,9799000
164.0,936,23933.0,3,0,10.0,44.79999923706055,3,0,72.30000305175781,2017,4,55.63689422607422,37.31226348876953,2.799999952316284,329,17,1,12100000
165.0,937,24367.0,4,0,0.0,38.0,2,0,57.0,2019,2,55.57033920288086,37.49176406860352,2.740000009536743,223,12,1,10700000
166.0,938,22321.0,6,0,0.0,47.0,3,0,58.0,2013,2,55.566802978515625,37.47862243652344,2.5,248,25,1,9900000
169.0,939,4653.0,6,0,7.400000095367432,22.399999618530277,2,0,37.400001525878906,1962,6,55.808082580566406,37.615081787109375,2.640000104904175,72,9,1,8200000
174.0,941,8789.0,4,0,5.699999809265137,18.0,1,0,33.0,1970,4,55.603790283203125,37.350772857666016,2.5,60,5,0,5699000
175.0,942,13791.0,2,0,10.0,20.0,1,0,39.0,1983,4,55.58173751831055,37.67203521728516,2.640000104904175,406,17,1,6400000
176.0,943,22329.0,8,0,0.0,38.0,2,0,66.0,2013,2,55.57313537597656,37.484352111816406,2.799999952316284,201,17,1,10300000
177.0,944,23471.0,7,0,0.0,19.0,1,0,39.0,2016,4,55.59899139404297,37.3586311340332,2.740000009536743,320,17,1,6299000
180.0,947,20255.0,10,0,14.0,33.79999923706055,2,0,60.0,2006,4,55.71113204956055,37.8950080871582,2.700000047683716,368,12,1,10700000
181.0,948,17225.0,5,0,9.0,30.5,2,0,50.400001525878906,1998,4,55.74424362182617,37.768310546875,2.640000104904175,134,17,1,10500000
183.0,949,14745.0,5,0,9.0,30.0,2,0,52.0,1987,4,55.62911987304688,37.61335754394531,2.640000104904175,526,17,1,18500000
184.0,950,24506.0,7,0,11.0,26.0,2,0,54.0,2020,2,55.57263946533203,37.48580551147461,2.8499999046325684,227,17,1,14000000
185.0,951,17973.0,7,0,8.699999809265137,17.100000381469727,1,0,36.0,2001,2,55.69598007202149,37.8115463256836,2.5999999046325684,153,23,1,10500000
187.0,952,12560.0,3,0,6.0,35.0,2,0,45.0,1979,1,55.8584213256836,37.66926956176758,2.8499999046325684,436,9,1,9100000
188.0,953,22330.0,11,0,0.0,24.0,1,0,43.0,2013,2,55.573768615722656,37.484413146972656,2.799999952316284,302,12,1,6840000
189.0,954,9347.0,1,0,6.0,18.799999237060547,1,0,33.0,1971,4,55.5986328125,37.61579513549805,2.640000104904175,357,9,1,8100000
